,logical_operation,text,text_index,lo_index
4700,"('s5', 's7', 's4', 's9', 's8')",s4,4700,2
4701,"('s5', 's7', 's4', 's9', 's8')",s9,4701,3
4702,"('s5', 's7', 's4', 's9', 's8')",s8,4702,4
4703,"('s7', 's3', 's4', 's1')",s7,4703,0
4704,"('s7', 's3', 's4', 's1')",s3,4704,1
4705,"('s7', 's3', 's4', 's1')",s4,4705,2
4706,"('s7', 's3', 's4', 's1')",s1,4706,3
4707,"('s0', 's0', 's8', 's3')",s0,4707,0
4708,"('s0', 's0', 's8', 's3')",s0,4708,1
4709,"('s0', 's0', 's8', 's3')",s8,4709,2
4710,"('s0', 's0', 's8', 's3')",s3,4710,3
4711,"('s3', 's9', 's6', 's4')",s3,4711,0
4712,"('s3', 's9', 's6', 's4')",s9,4712,1
4713,"('s3', 's9', 's6', 's4')",s6,4713,2
4714,"('s3', 's9', 's6', 's4')",s4,4714,3
4715,"('s2', 's8', 's5')",s2,4715,0
4716,"('s2', 's8', 's5')",s8,4716,1
4717,"('s2', 's8', 's5')",s5,4717,2
4718,"('s0', 's0', 's8', 's3')",s0,4718,0
4719,"('s0', 's0', 's8', 's3')",s0,4719,1
4720,"('s0', 's0', 's8', 's3')",s8,4720,2
4721,"('s0', 's0', 's8', 's3')",s3,4721,3
4722,"('s2', 's8', 's5')",s2,4722,0
4723,"('s2', 's8', 's5')",s8,4723,1
4724,"('s2', 's8', 's5')",s5,4724,2
4725,"('s5', 's7', 's4', 's9', 's8')",s5,4725,0
4726,"('s5', 's7', 's4', 's9', 's8')",s7,4726,1
4727,"('s5', 's7', 's4', 's9', 's8')",s4,4727,2
4728,"('s5', 's7', 's4', 's9', 's8')",s9,4728,3
4729,"('s5', 's7', 's4', 's9', 's8')",s8,4729,4
4730,"('s0', 's0', 's8', 's3')",s0,4730,0
4731,"('s0', 's0', 's8', 's3')",s0,4731,1
4732,"('s0', 's0', 's8', 's3')",s8,4732,2
4733,"('s0', 's0', 's8', 's3')",s3,4733,3
4734,"('s2', 's8', 's5')",s2,4734,0
4735,"('s2', 's8', 's5')",s8,4735,1
4736,"('s2', 's8', 's5')",s5,4736,2
4737,"('s0', 's0', 's8', 's3')",s0,4737,0
4738,"('s0', 's0', 's8', 's3')",s0,4738,1
4739,"('s0', 's0', 's8', 's3')",s8,4739,2
4740,"('s0', 's0', 's8', 's3')",s3,4740,3
4741,"('s3', 's9', 's6', 's4')",s3,4741,0
4742,"('s3', 's9', 's6', 's4')",s9,4742,1
4743,"('s3', 's9', 's6', 's4')",s6,4743,2
4744,"('s3', 's9', 's6', 's4')",s4,4744,3
4745,"('s2', 's8', 's5')",s2,4745,0
4746,"('s2', 's8', 's5')",s8,4746,1
4747,"('s2', 's8', 's5')",s5,4747,2
4748,"('s0', 's0', 's8', 's3')",s0,4748,0
4749,"('s0', 's0', 's8', 's3')",s0,4749,1
4750,"('s0', 's0', 's8', 's3')",s8,4750,2
4751,"('s0', 's0', 's8', 's3')",s3,4751,3
4752,"('s3', 's9', 's6', 's4')",s3,4752,0
4753,"('s3', 's9', 's6', 's4')",s9,4753,1
4754,"('s3', 's9', 's6', 's4')",s6,4754,2
4755,"('s3', 's9', 's6', 's4')",s4,4755,3
4756,"('s5', 's7', 's4', 's9', 's8')",s5,4756,0
4757,"('s5', 's7', 's4', 's9', 's8')",s7,4757,1
4758,"('s5', 's7', 's4', 's9', 's8')",s4,4758,2
4759,"('s5', 's7', 's4', 's9', 's8')",s9,4759,3
4760,"('s5', 's7', 's4', 's9', 's8')",s8,4760,4
4761,"('s3', 's9', 's6', 's4')",s3,4761,0
4762,"('s3', 's9', 's6', 's4')",s9,4762,1
4763,"('s3', 's9', 's6', 's4')",s6,4763,2
4764,"('s3', 's9', 's6', 's4')",s4,4764,3
4765,"('s5', 's7', 's4', 's9', 's8')",s5,4765,0
4766,"('s5', 's7', 's4', 's9', 's8')",s7,4766,1
4767,"('s5', 's7', 's4', 's9', 's8')",s4,4767,2
4768,"('s5', 's7', 's4', 's9', 's8')",s9,4768,3
4769,"('s5', 's7', 's4', 's9', 's8')",s8,4769,4
4770,"('s5', 's7', 's4', 's9', 's8')",s5,4770,0
4771,"('s5', 's7', 's4', 's9', 's8')",s7,4771,1
4772,"('s5', 's7', 's4', 's9', 's8')",s4,4772,2
4773,"('s5', 's7', 's4', 's9', 's8')",s9,4773,3
4774,"('s5', 's7', 's4', 's9', 's8')",s8,4774,4
4775,"('s3', 's9', 's6', 's4')",s3,4775,0
4776,"('s3', 's9', 's6', 's4')",s9,4776,1
4777,"('s3', 's9', 's6', 's4')",s6,4777,2
4778,"('s3', 's9', 's6', 's4')",s4,4778,3
4779,"('s3', 's9', 's6', 's4')",s3,4779,0
4780,"('s3', 's9', 's6', 's4')",s9,4780,1
4781,"('s3', 's9', 's6', 's4')",s6,4781,2
4782,"('s3', 's9', 's6', 's4')",s4,4782,3
4783,"('s7', 's3', 's4', 's1')",s7,4783,0
4784,"('s7', 's3', 's4', 's1')",s3,4784,1
4785,"('s7', 's3', 's4', 's1')",s4,4785,2
4786,"('s7', 's3', 's4', 's1')",s1,4786,3
4787,"('s2', 's8', 's5')",s2,4787,0
4788,"('s2', 's8', 's5')",s8,4788,1
4789,"('s2', 's8', 's5')",s5,4789,2
4790,"('s5', 's7', 's4', 's9', 's8')",s5,4790,0
4791,"('s5', 's7', 's4', 's9', 's8')",s7,4791,1
4792,"('s5', 's7', 's4', 's9', 's8')",s4,4792,2
4793,"('s5', 's7', 's4', 's9', 's8')",s9,4793,3
4794,"('s5', 's7', 's4', 's9', 's8')",s8,4794,4
4795,"('s5', 's7', 's4', 's9', 's8')",s5,4795,0
4796,"('s5', 's7', 's4', 's9', 's8')",s7,4796,1
4797,"('s5', 's7', 's4', 's9', 's8')",s4,4797,2
4798,"('s5', 's7', 's4', 's9', 's8')",s9,4798,3
4799,"('s5', 's7', 's4', 's9', 's8')",s8,4799,4
4800,"('s3', 's9', 's6', 's4')",s3,4800,0
4801,"('s3', 's9', 's6', 's4')",s9,4801,1
4802,"('s3', 's9', 's6', 's4')",s6,4802,2
4803,"('s3', 's9', 's6', 's4')",s4,4803,3
4804,"('s3', 's9', 's6', 's4')",s3,4804,0
4805,"('s3', 's9', 's6', 's4')",s9,4805,1
4806,"('s3', 's9', 's6', 's4')",s6,4806,2
4807,"('s3', 's9', 's6', 's4')",s4,4807,3
4808,"('s7', 's3', 's4', 's1')",s7,4808,0
4809,"('s7', 's3', 's4', 's1')",s3,4809,1
4810,"('s7', 's3', 's4', 's1')",s4,4810,2
4811,"('s7', 's3', 's4', 's1')",s1,4811,3
4812,"('s0', 's0', 's8', 's3')",s0,4812,0
4813,"('s0', 's0', 's8', 's3')",s0,4813,1
4814,"('s0', 's0', 's8', 's3')",s8,4814,2
4815,"('s0', 's0', 's8', 's3')",s3,4815,3
4816,"('s0', 's0', 's8', 's3')",s0,4816,0
4817,"('s0', 's0', 's8', 's3')",s0,4817,1
4818,"('s0', 's0', 's8', 's3')",s8,4818,2
4819,"('s0', 's0', 's8', 's3')",s3,4819,3
4820,"('s2', 's8', 's5')",s2,4820,0
4821,"('s2', 's8', 's5')",s8,4821,1
4822,"('s2', 's8', 's5')",s5,4822,2
4823,"('s7', 's3', 's4', 's1')",s7,4823,0
4824,"('s7', 's3', 's4', 's1')",s3,4824,1
4825,"('s7', 's3', 's4', 's1')",s4,4825,2
4826,"('s7', 's3', 's4', 's1')",s1,4826,3
4827,"('s3', 's9', 's6', 's4')",s3,4827,0
4828,"('s3', 's9', 's6', 's4')",s9,4828,1
4829,"('s3', 's9', 's6', 's4')",s6,4829,2
4830,"('s3', 's9', 's6', 's4')",s4,4830,3
4831,"('s3', 's9', 's6', 's4')",s3,4831,0
4832,"('s3', 's9', 's6', 's4')",s9,4832,1
4833,"('s3', 's9', 's6', 's4')",s6,4833,2
4834,"('s3', 's9', 's6', 's4')",s4,4834,3
4835,"('s0', 's0', 's8', 's3')",s0,4835,0
4836,"('s0', 's0', 's8', 's3')",s0,4836,1
4837,"('s0', 's0', 's8', 's3')",s8,4837,2
4838,"('s0', 's0', 's8', 's3')",s3,4838,3
4839,"('s3', 's9', 's6', 's4')",s3,4839,0
4840,"('s3', 's9', 's6', 's4')",s9,4840,1
4841,"('s3', 's9', 's6', 's4')",s6,4841,2
4842,"('s3', 's9', 's6', 's4')",s4,4842,3
4843,"('s2', 's8', 's5')",s2,4843,0
4844,"('s2', 's8', 's5')",s8,4844,1
4845,"('s2', 's8', 's5')",s5,4845,2
4846,"('s0', 's0', 's8', 's3')",s0,4846,0
4847,"('s0', 's0', 's8', 's3')",s0,4847,1
4848,"('s0', 's0', 's8', 's3')",s8,4848,2
4849,"('s0', 's0', 's8', 's3')",s3,4849,3
4850,"('s2', 's8', 's5')",s2,4850,0
4851,"('s2', 's8', 's5')",s8,4851,1
4852,"('s2', 's8', 's5')",s5,4852,2
4853,"('s7', 's3', 's4', 's1')",s7,4853,0
4854,"('s7', 's3', 's4', 's1')",s3,4854,1
4855,"('s7', 's3', 's4', 's1')",s4,4855,2
4856,"('s7', 's3', 's4', 's1')",s1,4856,3
4857,"('s2', 's8', 's5')",s2,4857,0
4858,"('s2', 's8', 's5')",s8,4858,1
4859,"('s2', 's8', 's5')",s5,4859,2
4860,"('s5', 's7', 's4', 's9', 's8')",s5,4860,0
4861,"('s5', 's7', 's4', 's9', 's8')",s7,4861,1
4862,"('s5', 's7', 's4', 's9', 's8')",s4,4862,2
4863,"('s5', 's7', 's4', 's9', 's8')",s9,4863,3
4864,"('s5', 's7', 's4', 's9', 's8')",s8,4864,4
4865,"('s3', 's9', 's6', 's4')",s3,4865,0
4866,"('s3', 's9', 's6', 's4')",s9,4866,1
4867,"('s3', 's9', 's6', 's4')",s6,4867,2
4868,"('s3', 's9', 's6', 's4')",s4,4868,3
4869,"('s7', 's3', 's4', 's1')",s7,4869,0
4870,"('s7', 's3', 's4', 's1')",s3,4870,1
4871,"('s7', 's3', 's4', 's1')",s4,4871,2
4872,"('s7', 's3', 's4', 's1')",s1,4872,3
4873,"('s5', 's7', 's4', 's9', 's8')",s5,4873,0
4874,"('s5', 's7', 's4', 's9', 's8')",s7,4874,1
4875,"('s5', 's7', 's4', 's9', 's8')",s4,4875,2
4876,"('s5', 's7', 's4', 's9', 's8')",s9,4876,3
4877,"('s5', 's7', 's4', 's9', 's8')",s8,4877,4
4878,"('s3', 's9', 's6', 's4')",s3,4878,0
4879,"('s3', 's9', 's6', 's4')",s9,4879,1
4880,"('s3', 's9', 's6', 's4')",s6,4880,2
4881,"('s3', 's9', 's6', 's4')",s4,4881,3
4882,"('s5', 's7', 's4', 's9', 's8')",s5,4882,0
4883,"('s5', 's7', 's4', 's9', 's8')",s7,4883,1
4884,"('s5', 's7', 's4', 's9', 's8')",s4,4884,2
4885,"('s5', 's7', 's4', 's9', 's8')",s9,4885,3
4886,"('s5', 's7', 's4', 's9', 's8')",s8,4886,4
4887,"('s0', 's0', 's8', 's3')",s0,4887,0
4888,"('s0', 's0', 's8', 's3')",s0,4888,1
4889,"('s0', 's0', 's8', 's3')",s8,4889,2
4890,"('s0', 's0', 's8', 's3')",s3,4890,3
4891,"('s5', 's7', 's4', 's9', 's8')",s5,4891,0
4892,"('s5', 's7', 's4', 's9', 's8')",s7,4892,1
4893,"('s5', 's7', 's4', 's9', 's8')",s4,4893,2
4894,"('s5', 's7', 's4', 's9', 's8')",s9,4894,3
4895,"('s5', 's7', 's4', 's9', 's8')",s8,4895,4
4896,"('s0', 's0', 's8', 's3')",s0,4896,0
4897,"('s0', 's0', 's8', 's3')",s0,4897,1
4898,"('s0', 's0', 's8', 's3')",s8,4898,2
4899,"('s0', 's0', 's8', 's3')",s3,4899,3
4900,"('s5', 's7', 's4', 's9', 's8')",s5,4900,0
4901,"('s5', 's7', 's4', 's9', 's8')",s7,4901,1
4902,"('s5', 's7', 's4', 's9', 's8')",s4,4902,2
4903,"('s5', 's7', 's4', 's9', 's8')",s9,4903,3
4904,"('s5', 's7', 's4', 's9', 's8')",s8,4904,4
4905,"('s7', 's3', 's4', 's1')",s7,4905,0
4906,"('s7', 's3', 's4', 's1')",s3,4906,1
4907,"('s7', 's3', 's4', 's1')",s4,4907,2
4908,"('s7', 's3', 's4', 's1')",s1,4908,3
4909,"('s5', 's7', 's4', 's9', 's8')",s5,4909,0
4910,"('s5', 's7', 's4', 's9', 's8')",s7,4910,1
4911,"('s5', 's7', 's4', 's9', 's8')",s4,4911,2
4912,"('s5', 's7', 's4', 's9', 's8')",s9,4912,3
4913,"('s5', 's7', 's4', 's9', 's8')",s8,4913,4
4914,"('s2', 's8', 's5')",s2,4914,0
4915,"('s2', 's8', 's5')",s8,4915,1
4916,"('s2', 's8', 's5')",s5,4916,2
4917,"('s5', 's7', 's4', 's9', 's8')",s5,4917,0
4918,"('s5', 's7', 's4', 's9', 's8')",s7,4918,1
4919,"('s5', 's7', 's4', 's9', 's8')",s4,4919,2
4920,"('s5', 's7', 's4', 's9', 's8')",s9,4920,3
4921,"('s5', 's7', 's4', 's9', 's8')",s8,4921,4
4922,"('s2', 's8', 's5')",s2,4922,0
4923,"('s2', 's8', 's5')",s8,4923,1
4924,"('s2', 's8', 's5')",s5,4924,2
4925,"('s0', 's0', 's8', 's3')",s0,4925,0
4926,"('s0', 's0', 's8', 's3')",s0,4926,1
4927,"('s0', 's0', 's8', 's3')",s8,4927,2
4928,"('s0', 's0', 's8', 's3')",s3,4928,3
4929,"('s5', 's7', 's4', 's9', 's8')",s5,4929,0
4930,"('s5', 's7', 's4', 's9', 's8')",s7,4930,1
4931,"('s5', 's7', 's4', 's9', 's8')",s4,4931,2
4932,"('s5', 's7', 's4', 's9', 's8')",s9,4932,3
4933,"('s5', 's7', 's4', 's9', 's8')",s8,4933,4
4934,"('s0', 's0', 's8', 's3')",s0,4934,0
4935,"('s0', 's0', 's8', 's3')",s0,4935,1
4936,"('s0', 's0', 's8', 's3')",s8,4936,2
4937,"('s0', 's0', 's8', 's3')",s3,4937,3
4938,"('s7', 's3', 's4', 's1')",s7,4938,0
4939,"('s7', 's3', 's4', 's1')",s3,4939,1
4940,"('s7', 's3', 's4', 's1')",s4,4940,2
4941,"('s7', 's3', 's4', 's1')",s1,4941,3
4942,"('s5', 's7', 's4', 's9', 's8')",s5,4942,0
4943,"('s5', 's7', 's4', 's9', 's8')",s7,4943,1
4944,"('s5', 's7', 's4', 's9', 's8')",s4,4944,2
4945,"('s5', 's7', 's4', 's9', 's8')",s9,4945,3
4946,"('s5', 's7', 's4', 's9', 's8')",s8,4946,4
4947,"('s2', 's8', 's5')",s2,4947,0
4948,"('s2', 's8', 's5')",s8,4948,1
4949,"('s2', 's8', 's5')",s5,4949,2
4950,"('s5', 's7', 's4', 's9', 's8')",s5,4950,0
4951,"('s5', 's7', 's4', 's9', 's8')",s7,4951,1
4952,"('s5', 's7', 's4', 's9', 's8')",s4,4952,2
4953,"('s5', 's7', 's4', 's9', 's8')",s9,4953,3
4954,"('s5', 's7', 's4', 's9', 's8')",s8,4954,4
4955,"('s0', 's0', 's8', 's3')",s0,4955,0
4956,"('s0', 's0', 's8', 's3')",s0,4956,1
4957,"('s0', 's0', 's8', 's3')",s8,4957,2
4958,"('s0', 's0', 's8', 's3')",s3,4958,3
4959,"('s2', 's8', 's5')",s2,4959,0
4960,"('s2', 's8', 's5')",s8,4960,1
4961,"('s2', 's8', 's5')",s5,4961,2
4962,"('s0', 's0', 's8', 's3')",s0,4962,0
4963,"('s0', 's0', 's8', 's3')",s0,4963,1
4964,"('s0', 's0', 's8', 's3')",s8,4964,2
4965,"('s0', 's0', 's8', 's3')",s3,4965,3
4966,"('s5', 's7', 's4', 's9', 's8')",s5,4966,0
4967,"('s5', 's7', 's4', 's9', 's8')",s7,4967,1
4968,"('s5', 's7', 's4', 's9', 's8')",s4,4968,2
4969,"('s5', 's7', 's4', 's9', 's8')",s9,4969,3
4970,"('s5', 's7', 's4', 's9', 's8')",s8,4970,4
4971,"('s0', 's0', 's8', 's3')",s0,4971,0
4972,"('s0', 's0', 's8', 's3')",s0,4972,1
4973,"('s0', 's0', 's8', 's3')",s8,4973,2
4974,"('s0', 's0', 's8', 's3')",s3,4974,3
4975,"('s7', 's3', 's4', 's1')",s7,4975,0
4976,"('s7', 's3', 's4', 's1')",s3,4976,1
4977,"('s7', 's3', 's4', 's1')",s4,4977,2
4978,"('s7', 's3', 's4', 's1')",s1,4978,3
4979,"('s5', 's7', 's4', 's9', 's8')",s5,4979,0
4980,"('s5', 's7', 's4', 's9', 's8')",s7,4980,1
4981,"('s5', 's7', 's4', 's9', 's8')",s4,4981,2
4982,"('s5', 's7', 's4', 's9', 's8')",s9,4982,3
4983,"('s5', 's7', 's4', 's9', 's8')",s8,4983,4
4984,"('s0', 's0', 's8', 's3')",s0,4984,0
4985,"('s0', 's0', 's8', 's3')",s0,4985,1
4986,"('s0', 's0', 's8', 's3')",s8,4986,2
4987,"('s0', 's0', 's8', 's3')",s3,4987,3
4988,"('s5', 's7', 's4', 's9', 's8')",s5,4988,0
4989,"('s5', 's7', 's4', 's9', 's8')",s7,4989,1
4990,"('s5', 's7', 's4', 's9', 's8')",s4,4990,2
4991,"('s5', 's7', 's4', 's9', 's8')",s9,4991,3
4992,"('s5', 's7', 's4', 's9', 's8')",s8,4992,4
4993,"('s0', 's0', 's8', 's3')",s0,4993,0
4994,"('s0', 's0', 's8', 's3')",s0,4994,1
4995,"('s0', 's0', 's8', 's3')",s8,4995,2
4996,"('s0', 's0', 's8', 's3')",s3,4996,3
4997,"('s7', 's3', 's4', 's1')",s7,4997,0
4998,"('s7', 's3', 's4', 's1')",s3,4998,1
4999,"('s7', 's3', 's4', 's1')",s4,4999,2
5000,"('s7', 's3', 's4', 's1')",s1,5000,3
5001,"('s2', 's8', 's5')",s2,5001,0
5002,"('s2', 's8', 's5')",s8,5002,1
5003,"('s2', 's8', 's5')",s5,5003,2
5004,"('s2', 's8', 's5')",s2,5004,0
5005,"('s2', 's8', 's5')",s8,5005,1
5006,"('s2', 's8', 's5')",s5,5006,2
5007,"('s3', 's9', 's6', 's4')",s3,5007,0
5008,"('s3', 's9', 's6', 's4')",s9,5008,1
5009,"('s3', 's9', 's6', 's4')",s6,5009,2
5010,"('s3', 's9', 's6', 's4')",s4,5010,3
5011,"('s7', 's3', 's4', 's1')",s7,5011,0
5012,"('s7', 's3', 's4', 's1')",s3,5012,1
5013,"('s7', 's3', 's4', 's1')",s4,5013,2
5014,"('s7', 's3', 's4', 's1')",s1,5014,3
5015,"('s3', 's9', 's6', 's4')",s3,5015,0
5016,"('s3', 's9', 's6', 's4')",s9,5016,1
5017,"('s3', 's9', 's6', 's4')",s6,5017,2
5018,"('s3', 's9', 's6', 's4')",s4,5018,3
5019,"('s0', 's0', 's8', 's3')",s0,5019,0
5020,"('s0', 's0', 's8', 's3')",s0,5020,1
5021,"('s0', 's0', 's8', 's3')",s8,5021,2
5022,"('s0', 's0', 's8', 's3')",s3,5022,3
5023,"('s3', 's9', 's6', 's4')",s3,5023,0
5024,"('s3', 's9', 's6', 's4')",s9,5024,1
5025,"('s3', 's9', 's6', 's4')",s6,5025,2
5026,"('s3', 's9', 's6', 's4')",s4,5026,3
5027,"('s2', 's8', 's5')",s2,5027,0
5028,"('s2', 's8', 's5')",s8,5028,1
5029,"('s2', 's8', 's5')",s5,5029,2
5030,"('s5', 's7', 's4', 's9', 's8')",s5,5030,0
5031,"('s5', 's7', 's4', 's9', 's8')",s7,5031,1
5032,"('s5', 's7', 's4', 's9', 's8')",s4,5032,2
5033,"('s5', 's7', 's4', 's9', 's8')",s9,5033,3
5034,"('s5', 's7', 's4', 's9', 's8')",s8,5034,4
5035,"('s7', 's3', 's4', 's1')",s7,5035,0
5036,"('s7', 's3', 's4', 's1')",s3,5036,1
5037,"('s7', 's3', 's4', 's1')",s4,5037,2
5038,"('s7', 's3', 's4', 's1')",s1,5038,3
5039,"('s0', 's0', 's8', 's3')",s0,5039,0
5040,"('s0', 's0', 's8', 's3')",s0,5040,1
5041,"('s0', 's0', 's8', 's3')",s8,5041,2
5042,"('s0', 's0', 's8', 's3')",s3,5042,3
5043,"('s5', 's7', 's4', 's9', 's8')",s5,5043,0
5044,"('s5', 's7', 's4', 's9', 's8')",s7,5044,1
5045,"('s5', 's7', 's4', 's9', 's8')",s4,5045,2
5046,"('s5', 's7', 's4', 's9', 's8')",s9,5046,3
5047,"('s5', 's7', 's4', 's9', 's8')",s8,5047,4
5048,"('s0', 's0', 's8', 's3')",s0,5048,0
5049,"('s0', 's0', 's8', 's3')",s0,5049,1
5050,"('s0', 's0', 's8', 's3')",s8,5050,2
5051,"('s0', 's0', 's8', 's3')",s3,5051,3
5052,"('s2', 's8', 's5')",s2,5052,0
5053,"('s2', 's8', 's5')",s8,5053,1
5054,"('s2', 's8', 's5')",s5,5054,2
5055,"('s7', 's3', 's4', 's1')",s7,5055,0
5056,"('s7', 's3', 's4', 's1')",s3,5056,1
5057,"('s7', 's3', 's4', 's1')",s4,5057,2
5058,"('s7', 's3', 's4', 's1')",s1,5058,3
5059,"('s5', 's7', 's4', 's9', 's8')",s5,5059,0
5060,"('s5', 's7', 's4', 's9', 's8')",s7,5060,1
5061,"('s5', 's7', 's4', 's9', 's8')",s4,5061,2
5062,"('s5', 's7', 's4', 's9', 's8')",s9,5062,3
5063,"('s5', 's7', 's4', 's9', 's8')",s8,5063,4
5064,"('s5', 's7', 's4', 's9', 's8')",s5,5064,0
5065,"('s5', 's7', 's4', 's9', 's8')",s7,5065,1
5066,"('s5', 's7', 's4', 's9', 's8')",s4,5066,2
5067,"('s5', 's7', 's4', 's9', 's8')",s9,5067,3
5068,"('s5', 's7', 's4', 's9', 's8')",s8,5068,4
5069,"('s0', 's0', 's8', 's3')",s0,5069,0
5070,"('s0', 's0', 's8', 's3')",s0,5070,1
5071,"('s0', 's0', 's8', 's3')",s8,5071,2
5072,"('s0', 's0', 's8', 's3')",s3,5072,3
5073,"('s0', 's0', 's8', 's3')",s0,5073,0
5074,"('s0', 's0', 's8', 's3')",s0,5074,1
5075,"('s0', 's0', 's8', 's3')",s8,5075,2
5076,"('s0', 's0', 's8', 's3')",s3,5076,3
5077,"('s3', 's9', 's6', 's4')",s3,5077,0
5078,"('s3', 's9', 's6', 's4')",s9,5078,1
5079,"('s3', 's9', 's6', 's4')",s6,5079,2
5080,"('s3', 's9', 's6', 's4')",s4,5080,3
5081,"('s0', 's0', 's8', 's3')",s0,5081,0
5082,"('s0', 's0', 's8', 's3')",s0,5082,1
5083,"('s0', 's0', 's8', 's3')",s8,5083,2
5084,"('s0', 's0', 's8', 's3')",s3,5084,3
5085,"('s0', 's0', 's8', 's3')",s0,5085,0
5086,"('s0', 's0', 's8', 's3')",s0,5086,1
5087,"('s0', 's0', 's8', 's3')",s8,5087,2
5088,"('s0', 's0', 's8', 's3')",s3,5088,3
5089,"('s0', 's0', 's8', 's3')",s0,5089,0
5090,"('s0', 's0', 's8', 's3')",s0,5090,1
5091,"('s0', 's0', 's8', 's3')",s8,5091,2
5092,"('s0', 's0', 's8', 's3')",s3,5092,3
5093,"('s0', 's0', 's8', 's3')",s0,5093,0
5094,"('s0', 's0', 's8', 's3')",s0,5094,1
5095,"('s0', 's0', 's8', 's3')",s8,5095,2
5096,"('s0', 's0', 's8', 's3')",s3,5096,3
5097,"('s7', 's3', 's4', 's1')",s7,5097,0
5098,"('s7', 's3', 's4', 's1')",s3,5098,1
5099,"('s7', 's3', 's4', 's1')",s4,5099,2
5100,"('s7', 's3', 's4', 's1')",s1,5100,3
5101,"('s0', 's0', 's8', 's3')",s0,5101,0
5102,"('s0', 's0', 's8', 's3')",s0,5102,1
5103,"('s0', 's0', 's8', 's3')",s8,5103,2
5104,"('s0', 's0', 's8', 's3')",s3,5104,3
5105,"('s0', 's0', 's8', 's3')",s0,5105,0
5106,"('s0', 's0', 's8', 's3')",s0,5106,1
5107,"('s0', 's0', 's8', 's3')",s8,5107,2
5108,"('s0', 's0', 's8', 's3')",s3,5108,3
5109,"('s0', 's0', 's8', 's3')",s0,5109,0
5110,"('s0', 's0', 's8', 's3')",s0,5110,1
5111,"('s0', 's0', 's8', 's3')",s8,5111,2
5112,"('s0', 's0', 's8', 's3')",s3,5112,3
5113,"('s5', 's7', 's4', 's9', 's8')",s5,5113,0
5114,"('s5', 's7', 's4', 's9', 's8')",s7,5114,1
5115,"('s5', 's7', 's4', 's9', 's8')",s4,5115,2
5116,"('s5', 's7', 's4', 's9', 's8')",s9,5116,3
5117,"('s5', 's7', 's4', 's9', 's8')",s8,5117,4
5118,"('s3', 's9', 's6', 's4')",s3,5118,0
5119,"('s3', 's9', 's6', 's4')",s9,5119,1
5120,"('s3', 's9', 's6', 's4')",s6,5120,2
5121,"('s3', 's9', 's6', 's4')",s4,5121,3
5122,"('s7', 's3', 's4', 's1')",s7,5122,0
5123,"('s7', 's3', 's4', 's1')",s3,5123,1
5124,"('s7', 's3', 's4', 's1')",s4,5124,2
5125,"('s7', 's3', 's4', 's1')",s1,5125,3
5126,"('s2', 's8', 's5')",s2,5126,0
5127,"('s2', 's8', 's5')",s8,5127,1
5128,"('s2', 's8', 's5')",s5,5128,2
5129,"('s0', 's0', 's8', 's3')",s0,5129,0
5130,"('s0', 's0', 's8', 's3')",s0,5130,1
5131,"('s0', 's0', 's8', 's3')",s8,5131,2
5132,"('s0', 's0', 's8', 's3')",s3,5132,3
5133,"('s0', 's0', 's8', 's3')",s0,5133,0
5134,"('s0', 's0', 's8', 's3')",s0,5134,1
5135,"('s0', 's0', 's8', 's3')",s8,5135,2
5136,"('s0', 's0', 's8', 's3')",s3,5136,3
5137,"('s7', 's3', 's4', 's1')",s7,5137,0
5138,"('s7', 's3', 's4', 's1')",s3,5138,1
5139,"('s7', 's3', 's4', 's1')",s4,5139,2
5140,"('s7', 's3', 's4', 's1')",s1,5140,3
5141,"('s5', 's7', 's4', 's9', 's8')",s5,5141,0
5142,"('s5', 's7', 's4', 's9', 's8')",s7,5142,1
5143,"('s5', 's7', 's4', 's9', 's8')",s4,5143,2
5144,"('s5', 's7', 's4', 's9', 's8')",s9,5144,3
5145,"('s5', 's7', 's4', 's9', 's8')",s8,5145,4
5146,"('s3', 's9', 's6', 's4')",s3,5146,0
5147,"('s3', 's9', 's6', 's4')",s9,5147,1
5148,"('s3', 's9', 's6', 's4')",s6,5148,2
5149,"('s3', 's9', 's6', 's4')",s4,5149,3
5150,"('s0', 's0', 's8', 's3')",s0,5150,0
5151,"('s0', 's0', 's8', 's3')",s0,5151,1
5152,"('s0', 's0', 's8', 's3')",s8,5152,2
5153,"('s0', 's0', 's8', 's3')",s3,5153,3
5154,"('s3', 's9', 's6', 's4')",s3,5154,0
5155,"('s3', 's9', 's6', 's4')",s9,5155,1
5156,"('s3', 's9', 's6', 's4')",s6,5156,2
5157,"('s3', 's9', 's6', 's4')",s4,5157,3
5158,"('s3', 's9', 's6', 's4')",s3,5158,0
5159,"('s3', 's9', 's6', 's4')",s9,5159,1
5160,"('s3', 's9', 's6', 's4')",s6,5160,2
5161,"('s3', 's9', 's6', 's4')",s4,5161,3
5162,"('s0', 's0', 's8', 's3')",s0,5162,0
5163,"('s0', 's0', 's8', 's3')",s0,5163,1
5164,"('s0', 's0', 's8', 's3')",s8,5164,2
5165,"('s0', 's0', 's8', 's3')",s3,5165,3
5166,"('s0', 's0', 's8', 's3')",s0,5166,0
5167,"('s0', 's0', 's8', 's3')",s0,5167,1
5168,"('s0', 's0', 's8', 's3')",s8,5168,2
5169,"('s0', 's0', 's8', 's3')",s3,5169,3
5170,"('s3', 's9', 's6', 's4')",s3,5170,0
